Year,Levitus (10ZJ),Levitus uncertainty
1955,-7.08,
1956,-6.48,
1957,-8.49,
1958,-5.41,
1959,-6.07,
1960,-5.32,
1961,-5.99,
1962,-4.95,
1963,-6.15,
1964,-7.00,
1965,-6.94,
1966,-7.82,
1967,-8.24,
1968,-9.60,
1969,-8.36,
1970,-9.17,
1971,-7.64,
1972,-9.12,
1973,-7.40,
1974,-6.65,
1975,-5.43,
1976,-6.48,
1977,-3.84,
1978,-3.82,
1979,-4.84,
1980,-2.79,
1981,-3.75,
1982,-6.18,
1983,-6.64,
1984,-4.34,
1985,-3.77,
1986,-4.91,
1987,-4.77,
1988,-2.79,
1989,-2.97,
1990,-3.70,
1991,-1.23,
1992,-3.30,
1993,-3.19,
1994,-2.37,
1995,-1.61,
1996,0.67,
1998,0.43,
1999,2.07,
2000,1.80,
2001,0.24,
2002,2.91,
2003,6.08,
2004,6.36,
2005,4.54,
2006,6.55,
2007,5.60,
2008,6.18,
2009,6.25,
2010,6.49,
2011,6.99,
2012,7.06,
2013,8.72,
2014,9.38,
2015,11.25,
2016,10.10,
2017,12.00,
2018,12.85,
2019,13.85,
2020,13.65,
2021,14.86,
2022,15.81,
2023,16.76,
